# ID	Source fingerprint	Practice distractor A	Practice distractor B
1001	8ea4b1bc	Una república federal.	Una monarquía absoluta.
1002	f61f6072	Estatuto de los Trabajadores.	Estatuto de Autonomía.
1003	9f484c03	El rey.	El Gobierno.
1004	2d3ff608	Un partido político.	Una institución de la Unión Europea.
1005	e7c48d6a	Solo de lunes a viernes por la mañana.	Únicamente con cita presencial.
1006	cb61a4c9	Solo en Madrid.	Solo en las comunidades sin lengua cooficial.
1007	620ffe3	El Instituto Nacional de Estadística.	La Dirección General de Tráfico.
1008	ae9f174a	Barcelona.	Sevilla.
1009	3ef34548	De partido único.	Bipartidista obligatorio.
1010	609ea5d4	Solo en el Palacio Real.	Únicamente durante las fiestas nacionales.
1011	df59bd52	El presidente del Gobierno.	El presidente del Congreso.
1012	b238281b	El Tribunal Constitucional.	La Unión Europea.
1013	fa44e272	José María Aznar.	Felipe González.
1014	1e08a427	El Tribunal de Cuentas.	El Consejo General del Poder Judicial.
1015	8d15aed9	El Defensor del Pueblo.	El presidente del Senado.
1016	7fad913c	Congreso de los Diputados.	Consejo de Ministros.
1017	51dee5c8	Una tarjeta sanitaria.	Un carné de conducir.
1018	ca0e7f2f	Por una orden ministerial.	Por una decisión del Tribunal de Cuentas.
1019	f2f4123c	Constitución municipal.	Reglamento del Congreso.
1020	19ed4fb5	Tribunal Constitucional.	Consejo de Estado.
1021	1de74fc5	El rey.	El Tribunal Constitucional.
1022	b1c317ab	Cabildos.	Delegaciones del Congreso.
1023	597ef111	Sevilla.	Zaragoza.
1024	9533c2d1	Solo a los ministros.	Solo a los jueces.
1025	13587cab	Ejecutivo.	Judicial.
1026	81d26cab	Reuniendo 50.000 firmas.	Solicitando permiso al Tribunal de Cuentas.
1027	811d89d5	15.	19.
1028	81d95c2f	Rojo y blanco.	Azul y amarillo.
1029	eab2816c	En Barcelona.	En Sevilla.
1030	1ce5484f	La ONU.	La OTAN.
1031	c58f1b54	Diputados y senadores.	Eurodiputados.
1032	5181ab79	El gallego.	El catalán.
1033	fad001f6	Oficial de todas las comunidades autónomas.	Más hablada en la Unión Europea.
1034	86587fa2	Galicia.	Andalucía.
1035	d768ac86	La diputación provincial.	El cabildo insular.
1036	f163b417	El murciano.	El inglés.
1037	7ba98c2e	El Instituto Nacional de Estadística.	La Agencia Tributaria.
1038	b1fed9a7	La Agencia Estatal de Meteorología.	La Dirección General de Tráfico.
1039	d1e9b3c1	En el Palacio de la Zarzuela.	En el Palacio Real.
1040	a8b0bed	La Policía Nacional.	La Policía Local.
1041	62a64cde	Los jueces del Tribunal Supremo.	Los concejales de todos los ayuntamientos.
1042	e7f6f87e	Estado confesional.	Estado de monarquía absoluta.
1043	29af7ab4	INE.	DGT.
1044	bbe0aebe	Princesa de Galicia.	Princesa de Navarra.
1045	f94bf74a	Con Felipe VI.	Con Alfonso XIII.
1046	52db60e	En 1975.	En 1986.
1047	bb2976d7	Solo dos.	Ninguna.
1048	6d01dd8b	La Agencia Tributaria.	La Real Academia Española.
1049	9f455144	50.000 firmas.	5.000 firmas.
1050	43fa0f5	La Unión Africana.	La Asociación de Naciones del Sudeste Asiático.
1051	c2cdcc49	Judicial.	Parlamentaria.
1052	1efcebe4	A los ministros.	A los jueces y magistrados.
1053	1dfb4d79	En el Palacio de la Moncloa.	En el Palacio de las Cortes.
1054	58f697c5	Consejo General del Poder Judicial.	Consejo de Ministros.
1055	5b1ca396	Son partidos políticos.	Dependen de la Casa Real.
1056	c7584e0c	Solo los hombres.	Solo las mujeres.
1057	133294d	La Agencia Tributaria.	La Dirección General de Tráfico.
1058	4129653c	El alcalde de Madrid.	El Defensor del Pueblo.
1059	1331a49d	Gallego.	Euskera.
1060	e70d3ba9	La censura.	La desigualdad.
1061	aaf6e00c	Un referéndum obligatorio en todos los casos.	La aprobación de todos los ayuntamientos.
1062	411da19b	19 millones.	89 millones.
1063	1a9d63a3	La Agencia Estatal de Meteorología.	La Real Academia Española.
1064	fa355bca	El Tribunal de Cuentas.	El Consejo General del Poder Judicial.
1065	78d1c9bc	La Policía Nacional.	El Ministerio de Defensa.
1066	1857004	Gallego y la cultura gallega.	Catalán y la cultura catalana.
1067	60c0eccb	Mérida.	Teruel.
1068	a2c73c81	Solo los funcionarios.	Únicamente los mayores de 65 años.
1069	b8ad54f	Juan Carlos I.	Alfonso XIII.
1070	d2e3cfad	Tribunal de Cuentas.	Consejo de Ministros.
1071	be907c56	El Tribunal Constitucional.	El Consejo General del Poder Judicial.
1072	d1a971e	Una orden ministerial.	Un reglamento municipal.
1073	bc6a3bf2	El Consejo de Ministros.	El Tribunal Supremo.
1074	2c94f18b	El poder judicial.	El Defensor del Pueblo.
1075	de453446	El Tribunal de Cuentas.	La Policía Local.
1076	5f2d70db	Organización Mundial del Turismo.	Organización Mundial de la Salud.
1077	529ac526	La Policía Local.	El Defensor del Pueblo.
1078	bcd01d09	La Policía Local.	La Agencia Tributaria.
1079	8a0bf175	Felipe VI.	Clara Campoamor.
1080	a20e8014	Ertzaintza.	Policía Foral.
1081	9628628	Mossos d'Esquadra.	Policía Foral.
1082	9d1b248a	Desde 1978.	Desde 1986.
1083	6f0fb3d1	El Ejército de Tierra.	El Tribunal de Cuentas.
1084	26118a84	Solo los ciudadanos españoles.	Solo los funcionarios públicos.
1085	a0d5bbe2	Una obligación sancionable si no se cumple.	Un derecho exclusivo de los funcionarios.
1086	5a23886e	La Policía Local exclusivamente.	El Ejército del Aire.
1087	822547bd	El Defensor del Pueblo.	El Instituto Cervantes.
1088	b38df928	En el padrón municipal.	En el Registro Civil.
1089	760b048d	Consejos insulares.	Cortes Generales.
1090	d6ec8d72	Realizar el examen práctico de conducir.	Pasar la inspección técnica del vehículo.
1091	25318c05	112.	016.
1092	d97fd6c7	Estados independientes.	Cantones federales.
1093	f683de61	Solo uno.	Solo dos.
1094	f18b8d76	En el Senado.	En el Tribunal Constitucional.
1095	f2fa301a	El presidente del Congreso.	El Defensor del Pueblo.
1096	1ee6de2c	El alcalde de la capital.	El presidente de la diputación.
1097	fd0feb73	17.	52.
1098	4a5aaed9	Del Tribunal Constitucional.	De la Unión Europea.
1099	c735b0b7	A los jueces y magistrados.	A las Cortes Generales.
1100	b56d109e	Una.	Tres.
1101	abc64288	El Tribunal Supremo.	El Parlamento Europeo.
1102	5d1ae436	El municipio.	La diputación provincial.
1103	6589731	Una.	Tres.
1104	dab9d645	El ayuntamiento.	La diputación provincial.
1105	d946139f	Los ministros.	Los senadores.
1106	bd814842	El rey y los ministros.	Los alcaldes y los concejales.
1107	156dbd3b	El cabildo nacional.	El Senado.
1108	d6943e71	Ayuntamientos.	Consejos de Ministros.
1109	a11b4e67	El Senado.	El Tribunal Supremo.
1110	cc487f31	Aranés.	Euskera.
1111	700ae4e9	A los alcaldes.	A los diputados provinciales.
1112	c1c98908	16 años.	21 años.
1113	5d626a52	Generales.	Al Senado.
1114	b130084	El Instituto Cervantes.	La Agencia Estatal de Meteorología.
1115	b2f44706	A los alcaldes y concejales.	A los eurodiputados.
1116	e8ed7ff8	250.	450.
1117	49879e45	Europea.	Judicial.
1118	6d0e8b6c	La Rioja.	Cantabria.
1119	47a85397	Diputación.	Cabildo.
1120	30e72a46	El Senado.	El Tribunal Constitucional.
3001	9b2e9563	En Andalucía.	En Castilla-La Mancha.
3002	7b06706a	Alicante.	Castellón.
3003	bee0829a	En el océano Atlántico.	En el mar Cantábrico.
3004	ce701f95	Sistema Central.	Sierra Nevada.
3005	7daec690	Cataluña.	Extremadura.
3006	3c8918b3	En Castilla y León.	En Aragón.
3007	823c16b7	Asturias.	Cantabria.
3008	a91c7afc	En Aragón.	En Extremadura.
3009	dc3a81e9	A Coruña.	Vigo.
3010	85d284c5	El Tajo.	El Duero.
3011	b28d4e8b	En Sierra Nevada.	En el Sistema Central.
3012	bb2088fb	Navarra.	La Rioja.
3013	80dbfebe	Estados federados.	Cantones independientes.
3014	2e339020	Aragón.	Andalucía.
3015	2140ef06	Tenerife.	Mallorca.
3016	1985a912	Las Palmas de Gran Canaria.	Santa Cruz de Tenerife.
3017	d5fd430c	El Júcar.	El Ebro.
3018	3b933937	Huesca.	Almería.
3019	cbf90e47	Cataluña.	Castilla y León.
3020	3d0afd99	Continental.	Polar.
3021	c5d0ceda	Tajo.	Duero.
3022	2fa62632	Llanos.	Pequeños en superficie.
3023	2352a542	En Badajoz.	En Huesca.
3024	2bccb7f8	Cáceres.	Badajoz.
